rowid,term,tf,ntf,idf,tfidf,ntfidf
3,accord,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
3,better,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
3,bigger,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
3,busi,1,0.0204081632653061,2.16905370036952,2.16905370036952,0.0442664020483576
3,compani,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
3,competit,1,0.0204081632653061,2.4567357728213,2.4567357728213,0.0501374647514552
3,continu,1,0.0204081632653061,2.4567357728213,2.4567357728213,0.0501374647514552
3,cross,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
3,custom,1,0.0204081632653061,2.16905370036952,2.16905370036952,0.0442664020483576
3,data,5,0.102040816326531,0.722134717433197,3.61067358716599,0.073687216064612
3,decision,1,0.0204081632653061,2.4567357728213,2.4567357728213,0.0501374647514552
3,depart,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
3,depend,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
3,discov,1,0.0204081632653061,2.86220088092947,2.86220088092947,0.0584122628761116
3,driven,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
3,embrac,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
3,grow,1,0.0204081632653061,2.86220088092947,2.86220088092947,0.0584122628761116
3,improv,1,0.0204081632653061,2.86220088092947,2.86220088092947,0.0584122628761116
3,increasingli,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
3,influx,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
3,inform,1,0.0204081632653061,2.4567357728213,2.4567357728213,0.0501374647514552
3,larg,1,0.0204081632653061,2.86220088092947,2.86220088092947,0.0584122628761116
3,make,1,0.0204081632653061,2.4567357728213,2.4567357728213,0.0501374647514552
3,market,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
3,mind,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
3,new,1,0.0204081632653061,2.4567357728213,2.4567357728213,0.0501374647514552
3,opportun,1,0.0204081632653061,2.4567357728213,2.4567357728213,0.0501374647514552
3,organ,1,0.0204081632653061,2.86220088092947,2.86220088092947,0.0584122628761116
3,relationship,1,0.0204081632653061,2.86220088092947,2.86220088092947,0.0584122628761116
3,reli,1,0.0204081632653061,2.86220088092947,2.86220088092947,0.0584122628761116
3,sell,2,0.0408163265306122,3.55534806148941,7.11069612297883,0.145116247407731
3,set,2,0.0408163265306122,2.86220088092947,5.72440176185894,0.116824525752223
3,size,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
3,spe,1,0.0204081632653061,2.4567357728213,2.4567357728213,0.0501374647514552
3,stai,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
3,type,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
3,unpreced,1,0.0204081632653061,3.55534806148941,3.55534806148941,0.0725581237038656
4,believ,1,0.037037037037037,3.55534806148941,3.55534806148941,0.131679557832941
4,comput,1,0.037037037037037,2.86220088092947,2.86220088092947,0.106007440034425
4,consider,1,0.037037037037037,3.55534806148941,3.55534806148941,0.131679557832941
4,costli,1,0.037037037037037,3.55534806148941,3.55534806148941,0.131679557832941
4,descent,1,0.037037037037037,3.55534806148941,3.55534806148941,0.131679557832941
4,firepow,1,0.037037037037037,3.55534806148941,3.55534806148941,0.131679557832941
4,gradient,1,0.037037037037037,3.55534806148941,3.55534806148941,0.131679557832941
4,local,1,0.037037037037037,3.55534806148941,3.55534806148941,0.131679557832941
4,minima,1,0.037037037037037,3.55534806148941,3.55534806148941,0.131679557832941
4,near,1,0.037037037037037,3.55534806148941,3.55534806148941,0.131679557832941
4,network,2,0.0740740740740741,2.86220088092947,5.72440176185894,0.212014880068849
4,neural,2,0.0740740740740741,2.86220088092947,5.72440176185894,0.212014880068849
4,point,1,0.037037037037037,3.55534806148941,3.55534806148941,0.131679557832941
4,previous,1,0.037037037037037,3.55534806148941,3.55534806148941,0.131679557832941
4,requir,1,0.037037037037037,3.55534806148941,3.55534806148941,0.131679557832941
4,research,1,0.037037037037037,2.16905370036952,2.16905370036952,0.0803353222359083
4,saddl,1,0.037037037037037,3.55534806148941,3.55534806148941,0.131679557832941
4,slow,1,0.037037037037037,3.55534806148941,3.55534806148941,0.131679557832941
4,time,1,0.037037037037037,1.94591014905531,1.94591014905531,0.0720707462613079
4,train,2,0.0740740740740741,3.55534806148941,7.11069612297883,0.263359115665882
5,analyt,1,0.0333333333333333,3.55534806148941,3.55534806148941,0.118511602049647
